ID,Ecol,Geo,Clades,Ploidy,Euploidy,Zygosity,group
ALQ,Tree,Europe,1. Wine/European (subclade 1),2,euploid,homozygous,1
BBI,Flower,Europe,1. Wine/European (subclade 1),2,euploid,homozygous,1
ALT,Flower,Europe,1. Wine/European (subclade 1),2,euploid,homozygous,1
BBK,Flower,Europe,1. Wine/European (subclade 1),2,euploid,homozygous,1
BFB,Nature,Europe,1. Wine/European (subclade 1),2,euploid,heterozygous,1
BFD,Fruit,Europe,1. Wine/European (subclade 1),2,euploid,homozygous,1
ALS,Flower,Europe,1. Wine/European (subclade 1),2,euploid,homozygous,1
BBH,Flower,Europe,1. Wine/European (subclade 1),2,euploid,homozygous,1
BPQ,Wine,Europe,1. Wine/European (subclade 1),2,euploid,homozygous,1
BQN,Wine,Europe,1. Wine/European (subclade 1),2,euploid,homozygous,1
CBI,Wine,old_Europe,1. Wine/European (subclade 1),2,euploid,homozygous,1
CCM,Tree,Europe,1. Wine/European (subclade 1),2,euploid,homozygous,1
BEP,Unknown,Europe,1. Wine/European (subclade 1),2,euploid,heterozygous,1
BRC,Wine,Europe,1. Wine/European (subclade 1),2,euploid,homozygous,1
CGT,Wine,Middle_east,1. Wine/European (subclade 1),2,euploid,homozygous,1
ALL,Water,Europe,1. Wine/European ,2,euploid,heterozygous,1
ALM,Water,Europe,1. Wine/European ,2,aneu,heterozygous,1
AVH,Wine,Europe,1. Wine/European ,2,aneu,homozygous,1
AHR,Human clinical,Europe,1. Wine/European ,1,euploid,homozygous,1
SACE_YAD,Human clinical,Europe,1. Wine/European ,2,euploid,homozygous,1
AGH,Wine,Europe,1. Wine/European ,1,euploid,homozygous,1
BTH,Tree,Europe,1. Wine/European ,2,euploid,homozygous,1
ATH,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BFQ,Cider,Europe,1. Wine/European ,2,euploid,homozygous,1
CIA,Industrial,Europe,1. Wine/European ,2,euploid,homozygous,1
BFR,Cider,Europe,1. Wine/European ,2,euploid,homozygous,1
CIB,Industrial,Europe,1. Wine/European ,2,euploid,homozygous,1
CBG,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
ACF,Distillery,Europe,1. Wine/European ,1,euploid,homozygous,1
SACE_YCD,Cider,NA,1. Wine/European ,2,aneu,homozygous,1
APS,Wine,Europe,1. Wine/European ,2,aneu,heterozygous,1
ARC,Wine,Europe,1. Wine/European ,2,aneu,heterozygous,1
BER,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BES,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
ARK,Fruit,NA,1. Wine/European ,2,aneu,heterozygous,1
ATA,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
ARQ,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
SACE_YBN,Fruit,North_America,1. Wine/European ,2,euploid,homozygous,1
APV,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
CFV,Fruit,NA,1. Wine/European ,2,aneu,homozygous,1
SACE_YDC,Beer,Africa,1. Wine/European ,2,euploid,homozygous,1
SACE_GAP,Wine,South_America,1. Wine/European ,2,euploid,homozygous,1
AAI,Distillery,Europe,1. Wine/European ,1,euploid,homozygous,1
ARV,Distillery,Europe,1. Wine/European ,2,aneu,homozygous,1
BHC,Cider,Europe,1. Wine/European ,2,euploid,heterozygous,1
BHF,Cider,Europe,1. Wine/European ,2,euploid,homozygous,1
BLB,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BPP,Wine,Europe,1. Wine/European ,2,aneu,homozygous,1
BTN,Wine,South_America,1. Wine/European ,2,euploid,homozygous,1
BTL,Wine,South_America,1. Wine/European ,2,euploid,homozygous,1
CRH,Wine,South_America,1. Wine/European ,2,euploid,heterozygous,1
SACE_YAA,Distillery,NA,1. Wine/European ,2,euploid,homozygous,1
BSP,Wine,South_America,1. Wine/European ,2,euploid,homozygous,1
AHT,Fermentation,Oceania,1. Wine/European ,1,euploid,homozygous,1
ATN,Fruit,Oceania,1. Wine/European ,2,euploid,homozygous,1
SACE_YBO,Fruit,Oceania,1. Wine/European ,2,euploid,homozygous,1
BNK,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BNR,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BQH,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BEQ,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
AIK,Nature,Africa,1. Wine/European ,2,euploid,heterozygous,1
CAH,Wine,North_America,1. Wine/European ,2,aneu,heterozygous,1
CBA,Wine,North_America,1. Wine/European ,2,euploid,heterozygous,1
CAI,Wine,North_America,1. Wine/European ,2,euploid,heterozygous,1
CAK,Wine,North_America,1. Wine/European ,2,euploid,heterozygous,1
CAL,Wine,North_America,1. Wine/European ,2,euploid,heterozygous,1
BSL,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
SACE_YBX,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BSE,Wine,North_America,1. Wine/European ,2,euploid,homozygous,1
AAA,Wine,North_America,1. Wine/European ,1,euploid,homozygous,1
CFS,Wine,North_America,1. Wine/European ,4,aneu,homozygous,1
BEV,Water,Europe,1. Wine/European ,2,euploid,homozygous,1
BET,Water,Europe,1. Wine/European ,2,euploid,homozygous,1
BST,Wine,South_America,1. Wine/European ,2,euploid,homozygous,1
ASS,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BSD,Wine,North_America,1. Wine/European ,2,euploid,homozygous,1
ATM,Wine,North_America,1. Wine/European ,2,euploid,homozygous,1
CQT,Wine,South_America,1. Wine/European ,2,euploid,homozygous,1
BSA,Wine,North_America,1. Wine/European ,2,euploid,homozygous,1
ADR,Wine,Europe,1. Wine/European ,1,euploid,homozygous,1
BSC,Wine,North_America,1. Wine/European ,2,euploid,homozygous,1
CFQ,Wine,North_America,1. Wine/European ,2,euploid,homozygous,1
CFR,Wine,North_America,1. Wine/European ,2,euploid,homozygous,1
BSB,Wine,North_America,1. Wine/European ,2,euploid,homozygous,1
ADC,Wine,Europe,1. Wine/European ,1,euploid,homozygous,1
SACE_YCP,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
SACE_YCQ,Cider,NA,1. Wine/European ,2,euploid,homozygous,1
BII,Wine,Australia,1. Wine/European ,2,euploid,homozygous,1
BIS,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BIG,Wine,Europe,1. Wine/European ,2,aneu,homozygous,1
AIR,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
AIT,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BNF,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BAR,Tree,Europe,1. Wine/European ,2,euploid,homozygous,1
BAS,Soil,Europe,1. Wine/European ,2,euploid,homozygous,1
BAT,Soil,Europe,1. Wine/European ,2,euploid,homozygous,1
BRD,Unknown,Europe,1. Wine/European ,2,euploid,heterozygous,1
AGV,Wine,South_America,1. Wine/European ,1,euploid,homozygous,1
BQI,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
AGA,Wine,Europe,1. Wine/European ,2,aneu,homozygous,1
AGS,Wine,Europe,1. Wine/European ,1,euploid,homozygous,1
BPC,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BKE,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BLH,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
CRG,Wine,South_America,1. Wine/European ,2,euploid,heterozygous,1
AIL,Nature,Africa,1. Wine/European ,2,euploid,heterozygous,1
AMS,Probiotic,Europe,1. Wine/European ,2,euploid,heterozygous,1
BLE,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
ADB,Wine,Asia,1. Wine/European ,1,aneu,homozygous,1
BQB,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
AMR,Soil,Asia,1. Wine/European ,2,euploid,homozygous,1
ABT,Nature,Europe,1. Wine/European ,1,euploid,homozygous,1
BRA,Nature,Europe,1. Wine/European ,2,euploid,homozygous,1
BIC,Wine,Africa,1. Wine/European ,2,euploid,homozygous,1
BLK,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BBV,Wine,Europe,1. Wine/European ,2,aneu,heterozygous,1
BVK,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
CFE,Beer,Europe,1. Wine/European ,2,euploid,heterozygous,1
BRF,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BSM,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BSN,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
CPE,Unknown,Europe,1. Wine/European ,2,aneu,homozygous,1
BLM,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BQC,Distillery,Europe,1. Wine/European ,2,euploid,homozygous,1
BRE,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BPV,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
CRC,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BHN,Fermentation,Asia,1. Wine/European ,2,euploid,homozygous,1
BBB,Soil,Europe,1. Wine/European ,2,euploid,homozygous,1
BAV,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
CAE,Wine,North_America,1. Wine/European ,2,euploid,homozygous,1
CAF,Wine,North_America,1. Wine/European ,2,euploid,homozygous,1
CRL,Wine,North_America,1. Wine/European ,2,euploid,homozygous,1
BBA,Soil,Europe,1. Wine/European ,2,euploid,homozygous,1
SACE_YAY,Human clinical,Europe,1. Wine/European (subclade 2),2,euploid,homozygous,1
ADI,Human clinical,Europe,1. Wine/European (subclade 2),1,euploid,homozygous,1
SACE_YBA,Human clinical,Europe,1. Wine/European (subclade 2),2,euploid,homozygous,1
SACE_YAZ,Human clinical,Europe,1. Wine/European (subclade 2),2,euploid,homozygous,1
BMI,Human clinical,Europe,1. Wine/European (subclade 2),2,euploid,homozygous,1
SACE_YBE,Human clinical,Europe,1. Wine/European (subclade 2),2,euploid,homozygous,1
BMK,Human clinical,Europe,1. Wine/European (subclade 2),2,euploid,homozygous,1
SACE_YBF,Human clinical,Europe,1. Wine/European (subclade 2),2,euploid,homozygous,1
BMH,Human clinical,Europe,1. Wine/European (subclade 2),2,euploid,homozygous,1
ADD,Soil,North_America,1. Wine/European (subclade 2),1,euploid,homozygous,1
SACE_YBB,Human clinical,Europe,1. Wine/European (subclade 2),2,euploid,homozygous,1
SACE_YBG,Human clinical,Europe,1. Wine/European (subclade 2),2,euploid,homozygous,1
SACE_YBH,Human clinical,Europe,1. Wine/European (subclade 2),2,euploid,homozygous,1
CDS,Fruit,Europe,1. Wine/European ,2,euploid,homozygous,1
BIM,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BIN,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BKA,Fruit,Europe,1. Wine/European ,2,euploid,homozygous,1
BQQ,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
ADS,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BNM,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
ACR,Wine,Europe,1. Wine/European ,1,euploid,homozygous,1
BIH,Wine,Australia,1. Wine/European ,2,euploid,heterozygous,1
BKC,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BLS,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BKD,Soil,Europe,1. Wine/European ,2,euploid,heterozygous,1
BNP,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BKN,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BNQ,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
CBH,Wine,Middle_east,1. Wine/European ,2,euploid,heterozygous,1
BKH,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BPM,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BKP,Wine,Europe,1. Wine/European ,2,aneu,heterozygous,1
CRA,Wine,Europe,1. Wine/European ,2,aneu,heterozygous,1
CRB,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
CHC,Wine,Middle_east,1. Wine/European ,2,euploid,heterozygous,1
CGS,Wine,Middle_east,1. Wine/European ,2,euploid,homozygous,1
CHB,Wine,Middle_east,1. Wine/European ,2,euploid,heterozygous,1
CHD,Wine,Middle_east,1. Wine/European ,2,euploid,heterozygous,1
CGV,Wine,Middle_east,1. Wine/European ,2,euploid,heterozygous,1
CHA,Wine,Middle_east,1. Wine/European ,2,euploid,homozygous,1
CHE,Wine,Middle_east,1. Wine/European ,2,euploid,heterozygous,1
AHI,Wine,Europe,1. Wine/European ,1,aneu,homozygous,1
BKM,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BIF,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BKG,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BKF,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BLL,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
ARL,Flower,Asia,1. Wine/European ,2,aneu,heterozygous,1
CKI,Human clinical,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CKL,Human clinical,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CKH,Industrial,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CKD,Human clinical,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CKE,Human clinical,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CIS,Human clinical,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
BMN,Human clinical,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CIT,Human clinical,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CKP,Human clinical,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CKQ,Human clinical,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CKB,Human clinical,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CKC,Human clinical,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CIQ,Human clinical,Europe,1. Wine/European (subclade 3),2,aneu,heterozygous,1
CIM,Human clinical,Europe,1. Wine/European (subclade 3),2,aneu,heterozygous,1
CIN,Human clinical,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CIR,Human clinical,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CKF,Human clinical,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CKG,Fruit,Asia,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CKM,Human clinical,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CIP,Human clinical,Europe,1. Wine/European (subclade 3),2,aneu,heterozygous,1
BCA,Human clinical,North_America,1. Wine/European (subclade 3),2,euploid,heterozygous,1
AMT,Probiotic,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CIV,Human clinical,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
CKT,Human clinical,Europe,1. Wine/European (subclade 3),2,euploid,heterozygous,1
BIL,Wine,Australia,1. Wine/European ,2,euploid,homozygous,1
ABS,Nature,NA,1. Wine/European ,1,euploid,homozygous,1
BIP,Wine,Europe,1. Wine/European ,2,aneu,homozygous,1
BIQ,Wine,Europe,1. Wine/European ,1,aneu,homozygous,1
BNI,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BLV,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BQG,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
CRD,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
CRI,Wine,Europe,1. Wine/European ,2,aneu,homozygous,1
BVM,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
CQV,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
CRK,Wine,Africa,1. Wine/European ,2,euploid,homozygous,1
BLF,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
CEA,Soil,Europe,1. Wine/European ,1,euploid,homozygous,1
CEB,Soil,Europe,1. Wine/European ,1,euploid,homozygous,1
BNT,Soil,Europe,1. Wine/European ,2,euploid,homozygous,1
BLD,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BKR,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
CEC,Soil,Europe,1. Wine/European ,2,euploid,homozygous,1
BNH,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BLC,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
CEE,Soil,Europe,1. Wine/European ,2,euploid,homozygous,1
BNN,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
CED,Soil,Europe,1. Wine/European ,2,euploid,homozygous,1
BKS,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BLP,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BLN,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
CDV,Soil,Europe,1. Wine/European ,2,euploid,homozygous,1
CEF,Soil,Europe,1. Wine/European ,2,euploid,homozygous,1
ANQ,Wine,South_America,1. Wine/European ,2,euploid,homozygous,1
AVK,Wine,South_America,1. Wine/European ,2,euploid,homozygous,1
BIK,Wine,Australia,1. Wine/European ,2,euploid,homozygous,1
CLH,Wine,Europe,1. Wine/European ,2,aneu,homozygous,1
AHN,Wine,Africa,1. Wine/European ,1,euploid,homozygous,1
BSG,Wine,Africa,1. Wine/European ,2,euploid,homozygous,1
SACE_YCA,Wine,Africa,1. Wine/European ,2,euploid,homozygous,1
ACT,Wine,Africa,1. Wine/European ,1,aneu,homozygous,1
ACV,Wine,Africa,1. Wine/European ,1,aneu,homozygous,1
AKP,Industrial,South_America,1. Wine/European ,2,euploid,homozygous,1
AKV,Nature,South_America,1. Wine/European ,2,euploid,homozygous,1
ALE,Insect,South_America,1. Wine/European ,2,euploid,homozygous,1
BQP,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BRB,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BIT,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
AQB,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BRH,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
ABP,Fruit,Europe,1. Wine/European ,1,euploid,homozygous,1
BIR,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
CPF,Unknown,Europe,1. Wine/European ,2,aneu,heterozygous,1
BNG,Wine,Europe,1. Wine/European ,3,euploid,heterozygous,1
AIM,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
CFB,Wine,Europe,1. Wine/European ,2,aneu,homozygous,1
CHF,Wine,Middle_east,1. Wine/European ,2,euploid,heterozygous,1
BHB,Bakery,Australia,1. Wine/European ,2,euploid,heterozygous,1
AAK,Wine,Europe,1. Wine/European (subclade 4),1,euploid,homozygous,1
AHP,Wine,Europe,1. Wine/European (subclade 4),2,euploid,heterozygous,1
AET,Wine,Europe,1. Wine/European (subclade 4),1,euploid,homozygous,1
AEK,Wine,Europe,1. Wine/European (subclade 4),1,euploid,homozygous,1
AQE,Wine,Europe,1. Wine/European (subclade 4),2,euploid,heterozygous,1
AQP,Wine,Europe,1. Wine/European (subclade 4),2,aneu,heterozygous,1
ASA,Wine,Europe,1. Wine/European (subclade 4),3,aneu,heterozygous,1
BPL,Wine,Europe,1. Wine/European (subclade 4),2,euploid,heterozygous,1
AIP,Wine,Europe,1. Wine/European (subclade 4),2,aneu,heterozygous,1
CAN,Wine,North_America,1. Wine/European (subclade 4),2,aneu,heterozygous,1
CAB,Wine,North_America,1. Wine/European (subclade 4),2,euploid,heterozygous,1
CAP,Wine,North_America,1. Wine/European (subclade 4),2,euploid,heterozygous,1
AQC,Wine,Eurasia,1. Wine/European (subclade 4),2,euploid,heterozygous,1
AHK,Wine,Africa,1. Wine/European (subclade 4),1,euploid,homozygous,1
AES,Wine,Europe,1. Wine/European (subclade 4),1,aneu,homozygous,1
AFI,Wine,Europe,1. Wine/European (subclade 4),1,euploid,homozygous,1
BPR,Nature,Europe,1. Wine/European (subclade 4),3,euploid,heterozygous,1
AIA,Wine,Europe,1. Wine/European (subclade 4),1,euploid,homozygous,1
BVT,Wine,North_America,1. Wine/European (subclade 4),2,euploid,heterozygous,1
CAA,Wine,North_America,1. Wine/European (subclade 4),2,euploid,heterozygous,1
CAC,Wine,North_America,1. Wine/European (subclade 4),2,euploid,heterozygous,1
BVV,Wine,North_America,1. Wine/European (subclade 4),2,euploid,heterozygous,1
CAD,Wine,North_America,1. Wine/European (subclade 4),2,euploid,heterozygous,1
CAM,Wine,North_America,1. Wine/European (subclade 4),2,euploid,heterozygous,1
CAQ,Wine,North_America,1. Wine/European (subclade 4),2,euploid,heterozygous,1
CBB,Wine,North_America,1. Wine/European (subclade 4),2,euploid,heterozygous,1
CBE,Wine,North_America,1. Wine/European (subclade 4),2,euploid,heterozygous,1
AAE,Wine,Europe,1. Wine/European (subclade 4),1,euploid,homozygous,1
AIB,Wine,Europe,1. Wine/European (subclade 4),1,euploid,homozygous,1
CAS,Wine,North_America,1. Wine/European (subclade 4),2,euploid,homozygous,1
CAR,Wine,North_America,1. Wine/European (subclade 4),2,euploid,homozygous,1
CAT,Wine,North_America,1. Wine/European (subclade 4),2,euploid,homozygous,1
CBC,Wine,North_America,1. Wine/European (subclade 4),2,euploid,homozygous,1
CAV,Wine,North_America,1. Wine/European (subclade 4),2,aneu,homozygous,1
CBD,Wine,North_America,1. Wine/European (subclade 4),2,euploid,homozygous,1
AFV,Wine,Europe,1. Wine/European (subclade 4),2,aneu,homozygous,1
ART,Wine,Europe,1. Wine/European (subclade 4),2,euploid,heterozygous,1
AIC,Wine,Europe,1. Wine/European (subclade 4),1,euploid,homozygous,1
SACE_YAF,Wine,Europe,1. Wine/European (subclade 4),2,euploid,homozygous,1
BSR,Wine,South_America,1. Wine/European ,2,euploid,heterozygous,1
BSS,Wine,South_America,1. Wine/European ,2,euploid,heterozygous,1
BTR,Wine,South_America,1. Wine/European ,2,euploid,heterozygous,1
BTP,Wine,South_America,1. Wine/European ,2,euploid,heterozygous,1
ASR,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
SACE_YDJ,Wine,NA,1. Wine/European ,2,aneu,homozygous,1
AVB,Industrial,Europe,2. Alpechin ,1,euploid,homozygous,2
CDT,Insect,Europe,2. Alpechin ,2,euploid,homozygous,2
CPG,Nature,Europe,2. Alpechin ,2,euploid,homozygous,2
ABM,Industrial,Europe,2. Alpechin ,1,euploid,homozygous,2
AHM,Industrial,Europe,2. Alpechin ,1,euploid,homozygous,2
AQA,Industrial,Europe,2. Alpechin ,2,euploid,heterozygous,2
AQD,Industrial,Europe,2. Alpechin ,2,aneu,heterozygous,2
ATQ,Industrial,Europe,2. Alpechin ,2,aneu,homozygous,2
CGD,Fruit,North_America,2. Alpechin ,2,euploid,homozygous,2
CGE,Fruit,North_America,2. Alpechin ,2,euploid,homozygous,2
AHL,Industrial,Europe,2. Alpechin ,1,euploid,homozygous,2
BRK,Industrial,Europe,2. Alpechin ,2,euploid,homozygous,2
SACE_YBR,Industrial,Europe,2. Alpechin ,2,euploid,homozygous,2
AID,Human,NA,2. Alpechin ,2,euploid,heterozygous,2
AIE,Human,Europe,2. Alpechin ,1,aneu,homozygous,2
SACE_YAE,Human,NA,2. Alpechin ,2,euploid,homozygous,2
SACE_YDM,Human clinical,Europe,2. Alpechin ,2,euploid,homozygous,2
AGN,Wine,Europe,M1. Mosaic region 1 ,1,euploid,homozygous,M1
AST,Wine,Europe,M1. Mosaic region 1 ,2,euploid,heterozygous,M1
BHE,Cider,Europe,M1. Mosaic region 1,2,aneu,heterozygous,M1
BHD,Cider,Europe,M1. Mosaic region 1,2,euploid,heterozygous,M1
